,title,price,description,feature,brand,price_sgd,screen_size_inches,resolution,smart_tv,weight_kg,height_cm,width_cm,depth_cm,refresh_rate_hz,hdmi_ports,usb_ports,operating_system,energy_efficiency_class,sound_output_w
0,LG 50UR7550 - 50 inches UHD 4K SMART,S$629.00,"Screen size; 50 Inches; Brand; LG; Supported Internet services; Netflix; Display technology; UHD; Product dimensions; 5.7D x 112.1W x 65.1H centimetres; Resolution; 4K; Refresh rate; 60; Special features; Flat; Model name; 50UR7550; Included components; Magic Remote, Remote Control Batteries, Power Cable","About this item; Vivid color and remarkable detail with 4K HDR10 Pro; A smarter viewing experience with the α5 AI Processor 4K Gen6; Smart Functionality, including ThinQ AI and WebOS; Streaming built-in, including LG Channels, Netflix, Apple TV+, and Disney+",LG,629.0,50.0,4K,Yes,,65.1,112.1,5.7,60.0,,,webOS,Not specified,
1,Samsung Smart,S$848.00,"Screen size; 65 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Hulu, Amazon Instant Video, Browser; Display technology; LED; Product dimensions; 6.1D x 145W x 83.1H centimetres; Resolution; 4K; Refresh rate; 120; Special features; Flat; Included components; Stand, TV; Connectivity technology; Bluetooth, Wi-Fi","About this item; Experience crystal clear colors that are fine-tuned to deliver a naturally crisp and vivid picture; Unveils shades of color you can't find on HDTV; TV Dimensions: With stand – 48.4"" W x 30.6"" H x 9.8"" D; Weight – 30.6 lbs. | Motion rate – MR120 | Resolution – 3,840 x 2,160 | WiFi & Bluetooth enabled; Go beyond Smart TV with next-gen apps, super easy control, and a host of enhancements that elevate the TV watching experience",Samsung,848.0,65.0,4K,Yes,13.88,83.1,145.0,6.1,120.0,,,Not specified,Not specified,
2,LG 55UR7550 - 55 inches UHD 4K SMART,S$799.00,"Screen size; 55 Inches; Brand; LG; Supported Internet services; Netflix; Display technology; UHD; Product dimensions; 5.8D x 123.5W x 71.5H centimetres; Resolution; 4K; Refresh rate; 60; Special features; Flat; Model name; 55UR7550; Included components; Magic Remote, Remote Control Batteries, Power Cable","About this item; Vivid color and remarkable detail with 4K HDR10 Pro; A smarter viewing experience with the α5 AI Processor 4K Gen6; Smart Functionality, including ThinQ AI and WebOS; Streaming built-in, including LG Channels, Netflix, Apple TV+, and Disney+",LG,799.0,55.0,4K,Yes,,71.5,123.5,5.8,60.0,,,webOS,Not specified,
3,LG OLED42C3PSA - 42 inches OLED UHD 4K SMART,"S$1,999.00","Screen size; 42 Inches; Brand; LG; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; 4K OLED; Product dimensions; 4.1D x 93.2W x 54H centimetres; Resolution; 4K; Refresh rate; 120; Special features; Flat; Model name; OLED42C3; Included components; Magic Remote, Remote Control Batteries, Power Cable","About this item; Advanced picture and functionality with the α9 AI Processor 4K Gen6; Incredibly defined visuals with Infinite Contrast; Ultra Slim Design with barely-there bezels; Smart Functionality, including ThinQ AI, WebOS, and Hands-Free Voice Recognition; Immersive entertainment with Dolby Atmos & Vision, VRR, G-sync, and Freesync",LG,1999.0,42.0,4K,Yes,,54.0,93.2,4.1,120.0,,,webOS,Not specified,
4,"Samsung NU7090 Series 7 43"" Ultra HD 4K LED Smart",S$489.00,"Screen size; 43 Inches; Brand; Samsung-3P; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; LED; Product dimensions; 68D x 111W x 282H centimetres; Resolution; 4K; Refresh rate; 60 Hz; Special features; Flat; Model name; Samsung; Included components; 1 x LED TV, 1 x Table Top Stand, 1 x Wall Mount Bracket, 1 x User Manual, 1 x Warranty Card, 1 x Remote Control, 1 x Power Cable/Power Supply Adapter; See more","About this item; A+ LED panel, real 4K UHD resolution, HDR, slim design; 4 Ticks energy efficiency; Smart TV features quad-core processor, content sync and share, download smart things app to set up smart TV; Smartthings app offers features such as remote control and mirror screen",Samsung,489.0,43.0,4K,Yes,,282.0,111.0,68.0,60.0,,,Not specified,A+,
5,Xiaomi Mi,S$245.00,"Screen size; 32 Inches; Brand; Xiaomi; Supported Internet services; Netflix; Display technology; LED; Product dimensions; 12.8D x 83W x 52H centimetres; Resolution; 4K; Refresh rate; 60 Hz; Special features; Flat; Model name; P1; Included components; 1 x TV, 1 x 360 degree bluetooth remote control, 1 x Screws bag, 2 x Stand components, 1 x Power cable, 1 x User manual, 1 x Warranty card; See more","About this item; Smart life, limitless vision; Google assistant built-in; Bluetooth remote with voice control; Bezel-less design for a unique viewing experience; HD display for added comfort",Others,245.0,32.0,4K,Yes,,52.0,83.0,12.8,60.0,,,Android TV,Not specified,
6,LG OLED48A3PSA - 48 inches OLED UHD 4K SMART,"S$1,499.00","Screen size; 48 Inches; Brand; LG; Supported Internet services; Netflix; Display technology; 4K OLED; Product dimensions; 4.6D x 107W x 62H centimetres; Resolution; 4K; Refresh rate; 60; Special features; Flat; Model name; OLED48A3; Included components; Magic Remote, Remote Control Batteries, Power Cable","About this item; A smarter viewing experience with the α7 AI Processor 4K Gen6; Incredibly defined visuals with Infinite Contrast; Smart Functionality, including ThinQ AI and WebOS; An immersive cinema experience with Dolby Atmos and Vision; Streaming built-in, including LG Channels, Netflix, Apple TV+, and Disney+",LG,1499.0,48.0,4K,Yes,,62.0,107.0,4.6,60.0,,,webOS,Not specified,
7,Xiaomi Mi P1E 4K UHD Android,S$785.00,"Screen size; 65 Inches; Brand; Xiaomi; Supported Internet services; Netflix; Display technology; LED; Product dimensions; 145.8D x 35.4W x 90.9H centimetres; Resolution; 4K; Refresh rate; 60 Hz; Special features; Flat; Model name; Xiaomi Mi P1E; Included components; 1 x 360° bluetooth remote control x 1, 1 x Screws bag x 1, 2 x Stand components, 1 x Power cable x 1, 1 x User manual x 1, 1 x Warranty card x 1; See more",About this item; Premium 4K Ultra HD Display with MEMC; Ultra-narrow bezel design fits perfectly anywhere at home; Equipped with two 10W stereo speakers and support for Dolby Audio and DTS-HD; Smart TV comes with built-in Google Assistant; Easily control your smart TV with the 360° Bluetooth remote control,Others,785.0,65.0,4K,Yes,,90.9,145.8,35.4,60.0,,,Android TV,Not specified,20.0
8,Philips 43PFT6917/98 Android Smart LED,S$489.75,"Screen size; 43 Inches; Brand; Philips; Supported Internet services; Netflix; Display technology; LED; Product dimensions; 14D x 95.8W x 65H centimetres; Resolution; 1080p; Refresh rate; 60; Special features; Flat; Included components; 1 x Tv, 2 x AAA Batteries, 1 x Power cord, 1 x Quick start guide, 1 x Legal and safety brochure, 1 x Table top stand, 1 x Remote Control; See more; Connectivity technology; USB, HDMI",About this item; With google assistant - control the TV with your voice; Deep bass and crystal-clear dialogue; Go beyond traditional TV programming with Google Play Store; Delight in everything you watch with a Philips HD LED TV; AI voice control,Philips,489.75,43.0,1080p,Yes,,65.0,95.8,14.0,60.0,,,Android TV,Not specified,
9,LG OLED48C3PSA - 48 inches OLED UHD 4K SMART,"S$2,299.00","Screen size; 48 Inches; Brand; LG; Supported Internet services; Netflix, Amazon Instant Video, YouTube; Display technology; 4K OLED; Product dimensions; 4.7D x 107.1W x 61.8H centimetres; Resolution; 4K; Refresh rate; 120; Special features; Flat; Model name; OLED48C3; Included components; Magic Remote, Remote Control Batteries, Power Cable, IR Blaster Cable","About this item; Advanced picture and functionality with the α9 AI Processor 4K Gen6; Incredibly defined visuals with Infinite Contrast; Ultra Slim Design for minimalist interiors; Smart Functionality, including ThinQ AI, WebOS, and Hands-Free Voice Recognition; Immersive entertainment with Dolby Atmos & Vision, VRR, G-sync, and Freesync",LG,2299.0,48.0,4K,Yes,,61.8,107.1,4.7,120.0,,,webOS,Not specified,
